Location ID,Custom Label,Location Name,Latitude/Longitude,Owned by Current Organization,Owned By,Shared With,Devices,Other Devices,Licenses,Alert Status,Alerts,Created In
"b4376242-a4c3-49ff-8014-29bee73c569d",,"Gregory St and Tarragona St","{""lng"":-87.21340763,""lat"":30.41626331}",true,"Ingram Signalization Inc.","","SMARTVIEW_360",0,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"6325f0b8-0025-443d-b800-adea13b8bcab",,"HWY 90 and HWY 77","{""lng"":-85.53843125,""lat"":30.77954409}",true,"Ingram Signalization Inc.","","CORE;CORE_DCM;SMARTVIEW_360;THIRD_PARTY_CAMERA",2,"DETECTION;INTERSECTION_MONITORING","CRITICAL","PERIPHERAL_UNAVAILABLE","TrafficLink"
"d1904347-093a-4a5d-acfd-a735aae6bfed",,"I-10 Exit 130 (US 231) Counts","{""lng"":-85.38145,""lat"":30.75313}",true,"Ingram Signalization Inc.","","SMARTLINK;SMARTSENSE;SMARTVIEW_360",0,"DETECTION;INTERSECTION_MONITORING","CRITICAL","PERIPHERAL_UNAVAILABLE","TrafficLink"
"82b25c79-86d1-4059-b5cd-f4b59fef739b",,"I-10 Exit 31 (SR 87) Counts","{""lng"":-86.96312584,""lat"":30.61885264}",true,"Ingram Signalization Inc.","","SMARTLINK;SMARTSENSE;SMARTVIEW_360",0,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"d8129346-bf6c-4df3-a0c2-9878223aeaab",,"I-10 Exit 56 (SR 85) Counts","{""lng"":-86.56865616,""lat"":30.72567021}",true,"Ingram Signalization Inc.","","SMARTVIEW_360",0,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"81033a00-a0fa-4ff1-98af-2e6bcf549dbc",,"I-10 Exit 85 (US 331) Counts","{""lng"":-86.12251328,""lat"":30.69216114}",true,"Ingram Signalization Inc.","","SMARTLINK;SMARTSENSE;SMARTVIEW_360",0,"DETECTION;INTERSECTION_MONITORING;MOBILITY_REPORTS","GOOD","","TrafficLink"
"999db833-5757-4176-bd19-2f8837c6fe53",,"John Knox Road and North Meridian Road","{""lng"":-84.27728835,""lat"":30.4745822}",true,"Ingram Signalization Inc.","","SMARTVIEW_360",1,"DETECTION;INTERSECTION_MONITORING","CRITICAL","POWER_OFF;TELEMETRY_UNAVAILABLE;DETECTOR_FAIL_HIGH","TrafficLink"
"94208a3e-c37a-43d9-92c1-bdde61643c91",,"Kelson Avenue and SR 166","{""lng"":-85.22654,""lat"":30.783237}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"dd9bfb29-5c5b-42e9-ae64-8c024e3d1f1f",,"Lafayette Street and Green Street","{""lng"":-85.22766268,""lat"":30.77419575}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"c429b873-d65b-4c6d-90bd-dd9f95884483",,"Lafayette Street and Jefferson Street","{""lng"":-85.22667,""lat"":30.773993}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
